activity_id,campaign_code,supporter_id,sent_date,opened,clicked,unsubscribed
1,CMP0141,3746,2024-06-19,0,0,0
2,CMP0141,2652,2024-06-19,0,0,0
3,CMP0141,1924,2024-06-19,1,0,0
4,CMP0141,3527,2024-06-19,0,0,0
5,CMP0141,229,2024-06-19,1,0,0
6,CMP0141,1519,2024-06-19,0,0,0
7,CMP0141,1859,2024-06-19,1,1,0
8,CMP0141,1283,2024-06-19,1,0,0
9,CMP0141,2924,2024-06-19,1,0,0
10,CMP0141,222,2024-06-19,1,0,0
11,CMP0141,1225,2024-06-19,0,0,0
12,CMP0141,1177,2024-06-19,0,0,0
13,CMP0141,1211,2024-06-19,1,0,0
14,CMP0141,2289,2024-06-19,0,0,0
15,CMP0141,2647,2024-06-19,1,0,0
16,CMP0141,61,2024-06-19,1,1,0
17,CMP0141,890,2024-06-19,1,0,0
18,CMP0141,1598,2024-06-19,0,0,0
19,CMP0141,2122,2024-06-19,0,0,0
20,CMP0141,1577,2024-06-19,1,0,0
21,CMP0141,2653,2024-06-19,0,0,0
22,CMP0141,1268,2024-06-19,0,0,0
23,CMP0141,1903,2024-06-19,1,1,0
24,CMP0141,1250,2024-06-19,0,0,0
25,CMP0141,1953,2024-06-19,0,0,0
26,CMP0141,2030,2024-06-19,0,0,0
27,CMP0141,1657,2024-06-19,1,1,0
28,CMP0141,2917,2024-06-19,0,0,0
29,CMP0141,2711,2024-06-19,1,0,0
30,CMP0141,20,2024-06-19,1,0,0
31,CMP0141,2629,2024-06-19,1,0,0
32,CMP0141,84,2024-06-19,0,0,0
33,CMP0141,638,2024-06-19,0,0,0
34,CMP0141,1262,2024-06-19,0,0,0
35,CMP0141,2641,2024-06-19,0,0,0
36,CMP0141,2239,2024-06-19,0,0,0
37,CMP0141,3563,2024-06-19,0,0,0
38,CMP0141,1334,2024-06-19,0,0,0
39,CMP0141,2526,2024-06-19,0,0,0
40,CMP0141,356,2024-06-19,0,0,0
41,CMP0141,522,2024-06-19,0,0,0
42,CMP0141,1437,2024-06-19,1,0,0
43,CMP0141,1348,2024-06-19,0,0,0
44,CMP0141,2356,2024-06-19,1,0,0
45,CMP0141,801,2024-06-19,0,0,0
46,CMP0141,1834,2024-06-19,0,0,0
47,CMP0141,1108,2024-06-19,1,0,0
48,CMP0141,763,2024-06-19,0,0,0
49,CMP0141,3892,2024-06-19,0,0,0
50,CMP0141,636,2024-06-19,0,0,0
51,CMP0141,3676,2024-06-19,0,0,0
52,CMP0141,152,2024-06-19,1,0,0
53,CMP0141,2562,2024-06-19,1,0,0
54,CMP0141,1353,2024-06-19,0,0,0
55,CMP0141,2592,2024-06-19,1,0,0
56,CMP0141,1370,2024-06-19,1,0,0
57,CMP0141,3447,2024-06-19,1,0,0
58,CMP0141,716,2024-06-19,0,0,0
59,CMP0141,808,2024-06-19,1,0,0
60,CMP0141,4011,2024-06-19,0,0,1
61,CMP0141,2266,2024-06-19,0,0,0
62,CMP0141,2869,2024-06-19,0,0,0
63,CMP0141,1439,2024-06-19,0,0,0
64,CMP0141,1057,2024-06-19,1,0,0
65,CMP0141,684,2024-06-19,0,0,0
66,CMP0141,2183,2024-06-19,0,0,0
67,CMP0141,325,2024-06-19,0,0,0
68,CMP0141,2815,2024-06-19,0,0,0
69,CMP0141,3301,2024-06-19,0,0,0
70,CMP0141,1293,2024-06-19,0,0,0
71,CMP0141,1864,2024-06-19,1,0,0
72,CMP0141,299,2024-06-19,1,1,0
73,CMP0141,2705,2024-06-19,0,0,0
74,CMP0141,2583,2024-06-19,0,0,0
75,CMP0141,1143,2024-06-19,0,0,0
76,CMP0141,96,2024-06-19,0,0,0
77,CMP0141,894,2024-06-19,0,0,0
78,CMP0141,1461,2024-06-19,0,0,0
79,CMP0141,1459,2024-06-19,0,0,0
80,CMP0141,758,2024-06-19,0,0,0
81,CMP0141,1635,2024-06-19,1,1,0
82,CMP0141,1235,2024-06-19,1,0,0
83,CMP0141,2699,2024-06-19,0,0,0
84,CMP0141,3460,2024-06-19,0,0,0
85,CMP0141,1174,2024-06-19,0,0,0
86,CMP0141,3504,2024-06-19,1,0,0
87,CMP0141,923,2024-06-19,1,0,0
88,CMP0141,64,2024-06-19,0,0,0
89,CMP0141,615,2024-06-19,0,0,0
90,CMP0141,1755,2024-06-19,0,0,0
91,CMP0141,419,2024-06-19,0,0,0
92,CMP0141,581,2024-06-19,1,0,0
93,CMP0141,2896,2024-06-19,0,0,0
94,CMP0141,286,2024-06-19,0,0,0
95,CMP0141,2679,2024-06-19,1,0,0
96,CMP0141,1216,2024-06-19,0,0,0
97,CMP0141,2854,2024-06-19,0,0,0
98,CMP0141,2596,2024-06-19,0,0,0
99,CMP0141,3219,2024-06-19,0,0,0
100,CMP0141,811,2024-06-19,0,0,0
101,CMP0141,2047,2024-06-19,1,1,0
102,CMP0141,998,2024-06-19,0,0,0
103,CMP0141,3473,2024-06-19,0,0,0
104,CMP0141,548,2024-06-19,0,0,0
105,CMP0141,2410,2024-06-19,1,0,0
106,CMP0141,2184,2024-06-19,0,0,0
107,CMP0141,420,2024-06-19,0,0,0
108,CMP0141,2557,2024-06-19,0,0,0
109,CMP0141,2178,2024-06-19,1,0,0
110,CMP0141,271,2024-06-19,0,0,0
111,CMP0141,3011,2024-06-19,0,0,0
112,CMP0141,3290,2024-06-19,0,0,0
113,CMP0141,3399,2024-06-19,0,0,0
114,CMP0141,1255,2024-06-19,0,0,0
115,CMP0141,3226,2024-06-19,0,0,0
116,CMP0141,3969,2024-06-19,0,0,0
117,CMP0141,187,2024-06-19,0,0,0
118,CMP0141,2876,2024-06-19,1,1,0
119,CMP0141,1092,2024-06-19,0,0,0
120,CMP0141,2202,2024-06-19,0,0,0
121,CMP0141,353,2024-06-19,1,0,0
122,CMP0141,1000,2024-06-19,0,0,0
123,CMP0141,1986,2024-06-19,0,0,0
124,CMP0141,568,2024-06-19,0,0,0
125,CMP0141,3359,2024-06-19,0,0,0
126,CMP0141,463,2024-06-19,0,0,0
127,CMP0141,289,2024-06-19,1,0,0
128,CMP0141,1523,2024-06-19,1,0,0
129,CMP0141,2783,2024-06-19,1,0,0
130,CMP0141,1019,2024-06-19,1,0,0
131,CMP0141,2023,2024-06-19,1,0,0
132,CMP0141,2322,2024-06-19,1,0,0
133,CMP0141,1272,2024-06-19,1,0,0
134,CMP0141,473,2024-06-19,1,0,0
135,CMP0141,2483,2024-06-19,0,0,0
136,CMP0141,3735,2024-06-19,1,0,0
137,CMP0141,2660,2024-06-19,1,1,0
138,CMP0141,1698,2024-06-19,0,0,0
139,CMP0141,9,2024-06-19,1,0,0
140,CMP0141,2776,2024-06-19,1,0,0
141,CMP0141,2296,2024-06-19,1,0,0
142,CMP0141,3407,2024-06-19,0,0,0
143,CMP0141,1199,2024-06-19,0,0,0
144,CMP0141,745,2024-06-19,1,0,0
145,CMP0141,2768,2024-06-19,0,0,0
146,CMP0141,2922,2024-06-19,0,0,0
147,CMP0141,966,2024-06-19,0,0,0
148,CMP0141,1928,2024-06-19,0,0,0
149,CMP0141,971,2024-06-19,0,0,0
150,CMP0141,2260,2024-06-19,0,0,0
151,CMP0141,3282,2024-06-19,0,0,0
152,CMP0141,1280,2024-06-19,1,0,0
153,CMP0141,978,2024-06-19,1,0,0
154,CMP0141,1902,2024-06-19,0,0,0
155,CMP0141,2537,2024-06-19,0,0,0
156,CMP0141,772,2024-06-19,0,0,0
157,CMP0141,1705,2024-06-19,0,0,0
