donation_id,supporter_id,donation_date,amount_gbp,campaign_code,payment_method,gift_aid,refunded
3671,1230,2026-06-09,150.0,CMP0075,Cheque,1,0
6491,2143,2026-07-22,20,CMP0021,Card,0,0
10725,3491,2026-02-02,5,CMP0185,Direct Debit,0,0
10730,3492,2025-08-14,20,CMP0014,Online,1,0
7808,2550,2026-04-14,50,CMP0004,Direct Debit,0,0
7643,2496,2026-03-02,50,CMP0068,Online,1,0
12103,3940,2023-09-04,30,CMP0062,Online,0,0
1149,383,2023-02-22,40,CMP0092,Cash,0,0
7428,2427,2025-06-25,100,CMP0141,Online,0,0
9622,3140,2023-06-21,22.5,CMP0044,Standing Order,1,0
4399,1462,2022-01-04,250,CMP0077,Cash,1,0
4349,1441,2025-05-30,10,CMP0036,Cash,0,0
11191,3621,2025-09-08,50,CMP0186,Online,1,0
3949,1327,2025-06-10,500,CMP0024,Direct Debit,0,0
183,52,2024-02-21,10,CMP0190,Standing Order,0,0
8437,2751,2026-03-17,50,CMP0091,Standing Order,0,0
215,61,2026-05-08,5,CMP0141,Direct Debit,1,0
2015,673,2023-04-18,15,CMP0056,Cash,0,0
5843,1917,2023-10-18,200,CMP0091,Cheque,0,0
10681,3483,2025-07-15,20,CMP0072,Direct Debit,0,0
4504,1502,2025-07-28,30.0,CMP0075,Direct Debit,1,0
10534,3436,2023-02-20,15,CMP0062,Standing Order,0,0
6193,2037,2023-09-28,10,CMP0026,Cash,0,0
9251,3020,2020-11-29,20,CMP0026,Direct Debit,1,1
8604,2806,2026-04-06,20,CMP0024,Cheque,0,0
8571,2790,2020-10-20,250,CMP0043,Direct Debit,0,0
8223,2685,2025-08-30,22.5,CMP0108,Card,0,0
3643,1222,2022-09-09,7.5,CMP0042,Direct Debit,1,0
709,228,2025-04-24,50,CMP0064,Cash,1,0
1016,336,2025-11-14,25,CMP0026,Online,1,0
9091,2963,2023-02-24,100,CMP0062,Standing Order,0,0
7099,2320,2021-07-22,150.0,CMP0059,Online,0,0
5769,1892,2024-11-21,22.5,CMP0176,Standing Order,1,0
71,22,2025-09-12,250,CMP0040,Cash,1,0
12221,3975,2023-06-28,40,CMP0060,Standing Order,1,0
2394,815,2019-07-18,500,CMP0086,Cash,1,0
4467,1484,2026-07-27,150.0,CMP0055,Cheque,1,0
8978,2932,2024-05-09,50,CMP0173,Card,0,0
7496,2448,2025-12-23,50,CMP0039,Online,1,0
4202,1394,2024-12-15,20,CMP0162,Standing Order,1,0
1585,534,2026-05-21,50,CMP0088,Online,1,0
399,129,2026-07-15,250,CMP0070,Online,0,0
5770,1892,2021-05-15,10,CMP0042,Card,0,0
5616,1841,2026-03-21,22.5,CMP0014,Online,1,0
232,69,2023-06-26,22.5,CMP0015,Online,1,0
3082,1044,2025-12-11,250,CMP0170,Online,0,0
5907,1935,2026-02-19,25,CMP0128,Card,1,0
9184,2997,2025-01-15,30.0,CMP0154,Cash,0,0
1901,636,2026-07-10,15,CMP0032,Card,1,0
9859,3220,2025-11-07,250,CMP0023,Cheque,0,0
5580,1835,2025-11-04,100,CMP0177,Direct Debit,0,0
5040,1672,2023-09-28,75.0,CMP0112,Cheque,0,0
6096,1991,2023-08-31,375.0,CMP0076,Direct Debit,0,0
11078,3587,2025-04-09,150.0,CMP0123,Online,0,0
1973,664,2023-08-18,250,CMP0045,Cash,0,0
3814,1281,2023-06-11,10,CMP0117,Card,0,0
6820,2241,2022-10-06,15.0,CMP0183,Direct Debit,1,0
363,117,2023-02-19,150.0,CMP0058,Direct Debit,1,0
578,186,2022-06-05,10,CMP0046,Cash,1,0
8745,2862,2022-05-30,200,CMP0099,Standing Order,1,0
10039,3287,2021-01-24,20,CMP0185,Standing Order,0,0
5511,1816,2024-04-04,20,CMP0049,Card,0,0
11414,3682,2024-05-01,25,CMP0059,Online,1,0
2792,953,2023-10-09,37.5,CMP0170,Direct Debit,1,0
1242,408,2024-10-31,22.5,CMP0129,Direct Debit,1,0
6872,2256,2021-02-14,20,CMP0166,Direct Debit,0,0
1305,428,2025-11-08,250,CMP0030,Direct Debit,0,0
4388,1456,2024-06-23,100,CMP0154,Direct Debit,0,0
4983,1651,2023-09-08,200,CMP0186,Cash,1,0
9866,3222,2024-11-26,10,CMP0101,Direct Debit,1,0
8089,2635,2023-07-24,20,CMP0190,Direct Debit,0,0
10199,3334,2019-04-13,375.0,CMP0141,Online,1,0
1628,548,2025-04-09,20,CMP0077,Cheque,0,0
