campaign_code,category_raw,true_category
CMP0067,New donor drive,Donor recruitment
CMP0121,LEGACY,Legacy
CMP0184,newsletter,Newsletter
CMP0065,Donor Recruitment,Donor recruitment
CMP0015,Xmas,Christmas appeal
CMP0052,Spring Campaign,Spring appeal
CMP0146,,Corporate
CMP0141,event,Events
CMP0021,Chirstmas appeal,Christmas appeal
CMP0056,New donor drive,Donor recruitment
CMP0096,monthly-givers,Regular giving
CMP0034,spring appeal,Spring appeal
CMP0016,christmas,Christmas appeal
CMP0166,CORP,Corporate
CMP0140,EVENTS,Events
CMP0173,newsletter,Newsletter
CMP0186,Supporter newsletter,Newsletter
CMP0095,,Regular giving
CMP0054,RECRUITMENT,Donor recruitment
CMP0038,spring-appeal,Spring appeal
CMP0027,SPRING,Spring appeal
CMP0075,donor-recruitment,Donor recruitment
CMP0088,RG,Regular giving
CMP0163,CORP,Corporate
CMP0171,Newsletter,Newsletter
CMP0170,CORP,Corporate
CMP0044,Spring Appeal,Spring appeal
CMP0178,Supporter newsletter,Newsletter
CMP0114,LEGACY,Legacy
CMP0192,Supporter newsletter,Newsletter
CMP0148,CORP,Corporate
CMP0041,SPRING,Spring appeal
CMP0152,Corporate,Corporate
CMP0017,Xmas Appeal,Christmas appeal
CMP0046,Spring Appeal,Spring appeal
CMP0025,XMAS-APPEAL,Christmas appeal
CMP0165,corporate partnership,Corporate
CMP0189,e-news,Newsletter
CMP0070,Recruitment - donors,Donor recruitment
CMP0123,event,Events
CMP0098,regular giving,Regular giving
CMP0080,Regular Giving,Regular giving
CMP0169,Partnerships,Corporate
CMP0031,spring-appeal,Spring appeal
CMP0072,donor recruit,Donor recruitment
CMP0003,Chirstmas appeal,Christmas appeal
CMP0039,,Spring appeal
CMP0024,XMAS-APPEAL,Christmas appeal
CMP0048,,Spring appeal
CMP0137,EVENTS,Events
CMP0060,RECRUITMENT,Donor recruitment
CMP0116,Gifts in Wills,Legacy
CMP0083,Monthly giving,Regular giving
CMP0014,Xmas Appeal,Christmas appeal
CMP0111,Gifts in Wills,Legacy
CMP0073,donor-recruitment,Donor recruitment
CMP0133,,Events
CMP0150,Corporate,Corporate
CMP0023,XMAS-APPEAL,Christmas appeal
CMP0011,XMAS-APPEAL,Christmas appeal
CMP0062,donor recruit,Donor recruitment
CMP0012,Xmas,Christmas appeal
CMP0142,Challenge Events,Events
CMP0162,corporate partnership,Corporate
CMP0053,,Donor recruitment
CMP0047,spring appeal,Spring appeal
CMP0176,Supporter newsletter,Newsletter
CMP0001,Chirstmas appeal,Christmas appeal
CMP0191,Supporter newsletter,Newsletter
CMP0033,Spring Campaign,Spring appeal
CMP0104,,Legacy
CMP0119,legacy giving,Legacy
CMP0172,newsletter,Newsletter
CMP0064,Recruitment - donors,Donor recruitment
CMP0185,,Newsletter
CMP0155,Corporate,Corporate
CMP0161,corporate partnership,Corporate
CMP0068,Donor Recruitment,Donor recruitment
CMP0009,Christmas Appeal 2024,Christmas appeal
CMP0008,Christmas Appeal 2024,Christmas appeal
CMP0144,event,Events
CMP0110,legacy giving,Legacy
CMP0125,Marathon,Events
CMP0118,LEGACY,Legacy
CMP0058,RECRUITMENT,Donor recruitment
CMP0117,Legacy,Legacy
CMP0145,CORP,Corporate
CMP0059,RECRUITMENT,Donor recruitment
CMP0190,Newsletter,Newsletter
CMP0175,e-news,Newsletter
CMP0004,Xmas Appeal,Christmas appeal
CMP0103,LEGACY,Legacy
CMP0085,Regular Giving,Regular giving
CMP0055,Donor Recruitment,Donor recruitment
CMP0153,Corporate,Corporate
CMP0147,CORP,Corporate
CMP0174,Supporter newsletter,Newsletter
CMP0076,donor recruit,Donor recruitment
CMP0097,Reg. Giving,Regular giving
CMP0188,Supporter newsletter,Newsletter
CMP0087,RG,Regular giving
CMP0094,Regular Giving,Regular giving
CMP0135,Marathon,Events
CMP0032,Spring Campaign,Spring appeal
CMP0156,Corporate,Corporate
CMP0007,Xmas,Christmas appeal
CMP0129,EVENTS,Events
CMP0132,,Events
CMP0099,regular giving,Regular giving
CMP0106,Gifts in Wills,Legacy
CMP0127,challenge-events,Events
CMP0069,donor recruit,Donor recruitment
CMP0071,RECRUITMENT,Donor recruitment
CMP0181,e-news,Newsletter
CMP0138,Marathon,Events
CMP0167,Partnerships,Corporate
